cells,avg_pi,sd_pi
15597,0.00090702947845805,0.000974792982322208
13028,0,0
5560,0.00982732966538635,0.0254047443217547
13028,0.00213143872113677,0.00183445037120541
5560,0,0
5560,0,0
16660,0.00197693574958814,0.00104193662608513
5560,0.00281425891181989,0.00196774643183893
16660,0.0239410681399632,0.0262261261420522
16660,0,0
16660,0.00327332242225859,0.00253550464563497
16660,0.0031413612565445,0.00270365329578179
16660,0.00523507500251686,0.00246724472125375
16660,0.00241545893719807,0.00104592440070584
15597,0.0018348623853211,0.0018348623853211
14100,0,0
16660,0,0
16660,0.00127713920817369,0.00110603499844756
16301,0.012012012012012,0.00354303452342405
14100,0,0
16660,0.00343228200371058,0.00385321627748927
15597,0,0
14100,0.00149253731343284,0.0011799543508091
15597,0.016231884057971,0.0125811793705569
16660,0.00115740740740741,0.0010023442173431
10483,0.00610500610500611,0.00528709037719438
14100,0.0292504570383912,0.022240448008403
15597,0.0073394495412844,0.00568511316874483
5560,0,0
13028,0.00732364028002154,0.00610197758716868
14817,0.00241545893719807,0.00209184880141169
16660,0.00643939393939394,0.00380886442651474
14100,0.00253807106598985,0.000926772516929215
16660,0,0
14100,0.0396643783371472,0.0230050157084904
16660,0.00102590407796871,0.000910399556260521
24392,0.00624219725343321,0.00108118027938132
14817,0,0
5560,0.00114744693057946,0.000993718191376292
16301,0,0
16660,0,0
16660,0.00120772946859903,0.00104592440070584
5560,0,0
16660,0.0153930847572466,0.0302210740931046
16660,0.0108108108108108,0.00624162453177974
