cell,latitude,longitude,median.pi.avg,median.pi.sd,median.pi.skew,mean.pi.avg,mean.pi.sd,mean.pi.skew,sd.pi.avg,sd.pi.sd,hill.zero.avg,hill.zero.sd,hill.one.avg,hill.one.sd,hill.two.avg,hill.two.sd,shannon.avg,shannon.sd
10,6351226.69256414,-14553315.1090835,0.0021550693798712286,0.0016139999252249044,1.406978170605767,0.003950159254610498,0.001731995858697227,0.687361748701708,0.005004954398413828,0.0024224975431505536,10,0,5.105834007451538,1.2037469924306148,4.207716757600231,1.1873060325311773,1.6001445933573242,0.25346419401471537
14,6396930.06593921,-13260302.4674412,0.0017340565943203931,0.0011095545964768844,1.5575029991721647,0.0032559909098444054,0.0014794770728676792,0.8924182737187064,0.004101519684957999,0.0022085057905425805,10,0,5.364936820952896,1.1544395820315567,4.325582278424705,1.1603246562679843,1.6546633803515214,0.23133038990643576
15,6389160.73944272,-13015516.7744447,0.0018630237396190007,0.0011666892680548416,1.5681324828035943,0.003254020443363293,0.0014993519122772402,0.8801317864680379,0.004014598598628869,0.0022710028939250688,10,0,5.51534425723543,1.1998524491426399,4.4597752183508845,1.2138820249347073,1.6820257780154724,0.2319262909129058
16,6358367.36798926,-12575346.3639401,0.001042390159902448,6.605301859465937e-4,7.701152280867161,0.0022658102199462787,0.0011229512653846182,0.6147236347142954,0.003289871138893729,0.0014676047516072408,10,0,4.677179292379565,1.2898861395431185,3.740262278663167,1.4576410476415875,1.505300303550703,0.2750532492892285
18,6435692.24151059,-12032900.4963696,0.0023331071114019754,0.0013806961652693148,1.5905215292235404,0.004005725649286082,0.0016781426557585298,0.6635346652892902,0.004807487014709512,0.002290696227122954,10,0,5.5524416705705315,1.1643779414028157,4.50608913586711,1.1998599958151515,1.6910584103460884,0.21954260820299037
21,6437126.20264777,-11352575.7343205,0.002936583271005698,0.0017883584017043428,0.5895741922227722,0.0034861579180982317,0.0010649738618032987,0.2971278560625016,0.003194519908818512,5.447863320053907e-4,10,0,6.122323473812214,1.233559124998703,5.4904465760775825,1.2531222840348786,1.7899696788780501,0.21521622108556954
22,6339207.81483852,-10805402.0390177,0.0024448805612170433,0.001451357139104077,1.4698960509731267,0.004211852599799592,0.0018621738624682894,0.8320688921198977,0.005068206013167289,0.0026011536464598164,10,0,5.6007237069291556,1.1723195608724146,4.53238273406159,1.199405353442072,1.6987702268258653,0.22702464973723427
32,6527233.57092779,-7958670.8264952,0.0011329388697562987,9.446409784329813e-4,1.6471943154421098,0.0031814556347603304,0.0023404342977794506,1.624731041558357,0.005328142498985683,0.004975565814097372,10,0,4.44555988118255,1.4178763235571028,3.5682580001353372,1.3382981400883185,1.4347395132717142,0.351883123864375
60,6395858.01204278,492369.488120325,0.0015007031284597363,8.682197022212296e-4,2.2512213930814036,0.003647387649604515,0.0024153854409993563,1.1291094222081273,0.00605177417812703,0.004840839891944745,10,0,4.766396348888492,1.608587777251243,3.7879977862780985,1.6328228570368368,1.4999066998687236,0.3610711467323763
61,6421400.48052918,692815.875890353,0.002085466662633085,9.990901052340136e-4,1.2657430780424914,0.003328600822678098,0.0012167708507408014,0.6723116380566957,0.003585934914648747,0.0014671646113235217,10,0,6.167327323094505,1.072183180774321,4.995728482929616,1.1266683730055338,1.8032659231351422,0.1825002858035776
62,6559462.95890445,1001817.04784506,0.0021121773879830366,0.0012608694970329994,1.5032646615496417,0.0038698150481659204,0.0017653384523051007,1.029828084388827,0.004884533576188571,0.002639764808374448,10,0,5.394785931657161,1.1989934231306714,4.345150303986435,1.2219563279853431,1.658915345628248,0.23619818197433207
63,6547272.60802661,1474734.9018668,0.0014974278687323172,7.145345616674687e-4,1.3972941307735778,0.0026294750639379444,0.0010593335250013455,0.48798755360225016,0.0031747581153519695,0.0013831637413093394,10,0,5.854279690136106,1.184488314642195,4.5882198387867525,1.3259107373336123,1.7464607003301826,0.20520273857691423
64,6297824.99366103,1758886.99720569,0.002166226198690227,0.0012937493179979527,2.3475814355570335,0.0036587831734916656,0.0013672938251309515,0.548989869479678,0.004021013071874158,0.0013770706430238243,10,0,5.961085999960347,1.0391206722187696,4.802647345632934,1.0983518634477678,1.7693562165537218,0.18117079129222585
65,6365176.9189009,1952641.09657752,0.0019233918883519573,0.0012874697366057697,1.8159296838294863,0.0035030099372051534,0.0013684767260654953,0.5142453982012055,0.0040676983841678935,0.0015302114049262898,10,0,5.79296333681318,1.0489340646528653,4.569123379276993,1.1162691720469238,1.739278814604126,0.190234099584796
66,6352128.63247978,2170748.33308467,0.0014556970343258355,0.001054805624573847,1.8423909035327097,0.002852699984317369,0.001386740479539698,0.9120986235493707,0.0037333026914915827,0.002025317755126985,10,0,5.084378332568275,1.2042891400866895,4.117565341276113,1.1773584832898267,1.5957994644374607,0.253551987924075
67,6471114.61387126,2614006.30455729,0.001776935818232263,0.0010207497203146357,0.5247016855456196,0.002775429953385982,0.0013441177020787512,1.1747462931400696,0.0034547911697445483,0.0026726390358935764,10,0,5.704342384887599,1.3955384648586324,4.795763003882176,1.5062398870365292,1.7070371582738788,0.2728341088213947
68,6513347.05570456,2854199.25061387,0.0016259576868800341,0.0011855073349540963,1.1749631252087314,0.002697407570971148,0.0010378192074250252,0.44805481232494426,0.0030878242697363507,0.0010201002523853966,10,0,5.383084753592135,1.15544401034993,4.515866343912514,1.128704405009054,1.6583989031627902,0.22892537718985334
124,6081032.08079533,-15123163.0802453,0.001617166015342307,0.0018913251977814884,1.877319845671976,0.002647705890866984,9.656122522369985e-4,0.13119652563201287,0.003118451991316572,5.094169399068878e-4,10,0,4.83580379785182,1.1553556318268061,4.2178246345428425,1.2362558911193824,1.5452743250806864,0.2549343657111249
131,6243455.67793424,-12985799.0001274,6.277353038919008e-4,3.7694537260386687e-4,-0.07361301715466922,0.0014916929017588759,0.0010100231078512768,1.0016422065330104,0.0025916202414669443,0.0020000081430249506,10,0,4.28150931679828,1.5933934950723745,3.6646745361132753,1.7753272051199052,1.3845509625411336,0.37838515793798844
132,6048766.67475372,-12822351.2413824,7.018032003879888e-4,3.947722522062458e-4,1.3921761784119777,0.0012803715536900304,5.939137902376138e-4,0.672814309659416,0.0016850588988677469,8.084220445252242e-4,10,0,5.038735961348983,1.2912386514484018,4.135450609117208,1.3002138958619778,1.5818852585215832,0.27333516877771674
133,6039730.98514469,-12332393.9102683,0.0015047155680993718,9.453823411548317e-4,1.5558481413477556,0.0027498541682530494,0.0012774198635520516,0.811908276118401,0.0034830461869231155,0.00190084481860379,10,0,5.370687574778314,1.2013783157230993,4.317832199381833,1.208462030158081,1.6541777744836426,0.23747480541117783
135,6233821.45689009,-11831147.6843649,0.003102679197078063,0.0014395581318165272,0.5271367884268167,0.00536380375530707,0.002556271012997478,0.8246401230816264,0.006947404755185754,0.00408299080787577,10,0,5.646830476001629,1.4158952611227573,4.5483484219778765,1.6160908532332119,1.698624592658965,0.2585278729209967
136,6073036.18399978,-11442886.8926353,0.002456623116302069,0.0016273700869321548,0.6810952134617078,0.0033134937656886815,0.0010278026730250749,0.16092482460310917,0.003246521240853103,7.077124637422861e-4,10,0,6.098959417553026,1.1165875585519016,5.216080419928431,1.1597377082346185,1.7901068799613484,0.19433745903887267
137,6286090.46781489,-11303464.2176728,0.0010551854744819107,5.842040309711345e-4,3.406160402763318,0.001516383460037536,4.388310346837642e-4,0.33005753278137195,0.001363765550412218,3.2161939285452456e-4,10,0,7.1201726198970885,0.7111012803706872,5.741762245420361,0.9517730231839086,1.9580741209044081,0.09818245935948532
138,6189464.73463968,-10850847.0770158,0,0,NaN,0,0,NaN,0,0,10,0,NA,NA,NaN,NaN,NA,NA
139,6223692.45479304,-10701003.8837862,0.005474379361829654,0.003135129989427169,-0.04449273945552258,0.0054255742244379655,0.0011037902075792744,0.038476096063712016,0.003586984065439457,2.984071020648211e-4,10,0,7.958454428126957,0.4972003635746269,7.016301302033793,0.8373738625410554,2.0723444295319076,0.0610667107824081
143,6062665.44905279,-9441153.57666615,0.006218551888840634,0.001935354204689652,-0.4117085757487977,0.006118735345201896,0.0011040532962448546,-0.12470208611232499,0.003345404386579102,4.8608727004627816e-4,10,0,8.492416369195226,0.5390218523139076,7.740144734583366,0.8116749086072382,2.137147563481123,0.06381902723829551
