cell,latitude,longitude,median.pi.avg,median.pi.sd,median.pi.skew,mean.pi.avg,mean.pi.sd,mean.pi.skew,sd.pi.avg,sd.pi.sd,hill.zero.avg,hill.zero.sd,hill.one.avg,hill.one.sd,hill.two.avg,hill.two.sd,hill.three.avg,hill.three.sd,hill.four.avg,hill.four.sd,hill.five.avg,hill.five.sd,hill.six.avg,hill.six.sd,hill.seven.avg,hill.seven.sd,hill.eight.avg,hill.eight.sd,shannon.avg,shannon.sd
100,7258985.63844906,-7417189.82172717,0.0015273329226787454,0.00118681368141777,2.831464450173666,0.0029780817845771472,0.001259250642035358,0.7971725300736685,0.003656684274253259,0.001386187293955476,10,0,5.349980004455102,1.102979007296273,4.256907667842992,1.0874831210886824,3.8002757843743593,1.0314257503213404,3.5601899254773155,0.9855725148497078,3.413774470073202,0.9516399431611828,3.3157331882722287,0.9263321013381643,3.2457733432675857,0.9069575066217291,3.193475110719662,3.193475110719662,1.6551754724663312,0.21353147078024065
105,7267088.96151214,-6881980.42517545,8.12347393329483e-4,4.955855534208621e-4,0.5884404460536293,0.0026714403674853292,0.0018973098797942572,0.9171057531955539,0.0048060962798758084,0.0035904940224063308,10,0,4.061309603876339,1.4983231190467714,3.258653045082976,1.4489586584102312,2.950564252681765,1.361771419040922,2.792857066843782,1.2965175196200536,2.6977972720474117,1.2499728217397734,2.634526307922955,1.2161421522725364,2.589534828549666,1.1908025058722456,2.5559910488786923,2.5559910488786923,1.327715003647829,0.39940058458309563
186,7204731.34474251,1206840.74475019,0.0011235501432157124,4.4782926626831324e-4,0.4036428420960301,0.001996126265944088,9.895868744551682e-4,0.7785067999928025,0.002711541887785923,0.0016868773419941158,10,0,5.479454635442146,1.3743859628770823,4.342754127400309,1.5687436512967938,3.855893976117832,1.5567002042811715,3.6014592658836384,1.5109414953799989,3.447454693796557,1.467003267232488,3.344809049115059,1.4300710433661716,3.271712963981641,1.3996658323001152,3.2170944393565466,3.2170944393565466,1.6692044337754421,0.25640722048860615
534,7180630.77558641,1318195.56078775,0.001601491959891608,5.424626388588118e-4,0.15059804117501432,0.007481730264629432,0.007474977298911844,1.237874069828486,0.016774924229780122,0.017676945197535873,10,0,5.0828301308179915,2.913050882687714,4.3753312914938585,2.773506699361642,4.060820872914592,2.584276616594596,3.8677422877684604,2.4464593210891,3.735815874042214,2.344759693776385,3.640179107812629,2.267559335413808,3.5680853586057593,2.2076241030857426,3.512154208370195,3.512154208370195,1.4135804815293351,0.6941811584037801
536,7183384.34771746,1450092.30589072,6.746072943067731e-4,3.997161273841244e-4,2.4093640024527363,0.0012228170534994251,5.339457368092206e-4,0.8944276385762598,0.001498606145522488,7.216186257303163e-4,10,0,5.52878941136489,1.1907812936109199,4.451902439007999,1.200127120894818,3.9599097392385283,1.1518232907619161,3.695966877447229,1.108119169948346,3.5352197500120663,1.0738601802026224,3.4281726327952073,1.0472014317417675,3.352183497179703,1.0261324792091384,3.295618066799607,3.295618066799607,1.6862581579768232,0.22134126825886807
753,7027265.18844946,-11535031.2902749,0.0018472874864490514,0.0014056031418787202,2.465335736973673,0.004144461221388042,0.002126059285377999,0.9730294722920203,0.005473010002212184,0.0025442161487209958,10,0,4.934874375270041,0.9886040669764841,3.902342861356627,0.9753423736406408,3.4915777722414463,0.9240831450969119,3.280276000373881,0.8830684556317743,3.1531992477539257,0.8527793901739633,3.068773049939563,0.8299005645951489,3.0087249823787383,0.8120807485991832,2.963858969504317,2.963858969504317,1.5760341401101727,0.20441044597896502
791,7024613.65663338,-7715428.91398269,5.268937272048352e-4,4.92077372281649e-4,1.6315243691545687,0.0014805306768788864,9.041333816511121e-4,1.2247684449342597,0.002394282356916885,0.001371849347368235,10,0,4.065062438924027,1.3373402849087999,3.180432898836262,1.224377268393053,2.8348310203340654,1.115146840002292,2.661332119734988,1.0405921458100067,2.5593030833328614,0.9907135369259905,2.4927746475125208,0.9559763988668935,2.446156620109626,0.9306368057055321,2.41173499239447,2.41173499239447,1.3480025456058522,0.33551830925350606
792,7011575.06564383,-7654160.12602337,0.001786340229914792,0.0011198944808458434,2.4565535971854238,0.0031736915847362995,0.0012690855096214762,0.5857377171320293,0.0037828685438632227,0.0015011358767757414,10,0,5.568967287333386,1.1217125117886129,4.476059062526395,1.1320180289104302,4.00030775568972,1.0985743475252496,3.7472033488500385,1.0657982994006279,3.5918910422492094,1.0396080890695185,3.487303172971299,1.0190704946498084,3.4123034870767945,1.002792759810345,3.3560446693835857,3.3560446693835857,1.695192289172043,0.21673057427910683
848,7071750.31614765,-1987327.91432772,0.001449110997821802,0.0010185472318747554,1.1885293354476663,0.0029033263111789506,0.0015852295270898148,1.016283191629301,0.003914187265748206,0.002795900015919679,10,0,5.179865678854747,1.1742252361715022,4.165239947045924,1.1599986156941609,3.739481756561306,1.106891800245128,3.5133391388483335,1.0599579614504093,3.3736737893160678,1.0228806333326719,3.2788566278355544,0.9938092055717738,3.2102966739671195,0.9707141870124656,3.1584441143351776,3.1584441143351776,1.6156105260447464,0.2525829200070777
887,7072026.99907891,1839317.96042284,0.002519961862023864,7.237259101871685e-4,0.45858311181694655,0.017423276496897535,0.014445440156747423,0.7640795654099011,0.0363872354550361,0.028765039822006302,10,0,4.546276985397164,2.790724665212956,3.6409658638751448,2.521540136642688,3.281069790027611,2.2940231790529992,3.0951987870341737,2.156646346536021,2.985633109031987,2.065750051933835,2.9144253257786965,2.0013661762863815,2.8647496057743833,1.9536147902821004,2.828218596473985,2.828218596473985,1.3185509516755307,0.6326835941947532
