"","cells","median.pi.avg","median.pi.sd","mean.pi.avg","mean.pi.sd","hill.zero.avg","hill.zero.sd","hill.one.avg","hill.one.sd","hill.two.avg","hill.two.sd","shannon.avg","shannon.sd"
"1",176,0.00235374748490946,0.00570216065581497,0.013761197496001,0.0149469475955206,1.492,0.760601416324291,NA,NA,Inf,Inf,NA,NA
"2",181,0.00528477062548403,0.00214728255840788,0.012060061565331,0.00506634364015571,2.268,0.44313922459242,1.66793421002742,0.241000812946947,1.46058114461208,0.203348409422969,0.500556341628007,0.150685069195218
"3",231,0.00416527208549859,0.00502309595241966,0.0223750527099495,0.0152033391887468,1.815,0.605922554574541,1.23144869347881,0.205473877313718,1.12993033744184,0.120798072760497,0.194142966920742,0.167996156684625
"4",233,0.00084512216043132,0.00115069916503279,0.00210269619933284,0.00280814263225007,1.496,0.860653661309081,NA,NA,Inf,Inf,NA,NA
"5",237,0.00457051432505594,0.000476974435580161,0.017607665471509,0.00896332992756066,2.257,0.437198058255229,1.55569789854901,0.296588469114068,1.41231670679419,0.353887593638035,0.424378677404842,0.185764140662728
"6",238,0.0113325300541562,0.0182458320924732,0.0253270346011821,0.0167494088830763,2.002,0.62320492968556,1.4013788824495,0.369993153927959,1.29976351489121,0.335005980157585,0.304323350845759,0.254277299614639
"7",291,0.00234427491381357,0.00179171477949248,0.00960089628541649,0.00645893601709172,2.412,0.492441365543655,1.56919039951547,0.345784627209365,1.38861799134426,0.310480064073038,0.42747140102451,0.213022115549033
"8",344,0.00669179263015326,0.00220755353296923,0.00705096454463759,0.00192805670073207,3,0,2.57117414676193,0.272988093496025,2.36933036481087,0.33970938522209,0.938494903579029,0.109550016829574
"9",345,0.00600065362585307,0.00404534507473074,0.00891299589744712,0.00466512108327001,2.569,0.495463908357093,1.94605905262071,0.441285810949762,1.74009083176358,0.416497262721947,0.639090698213819,0.234449643852393
"10",410,0.00384481999774558,0.00262737493766865,0.00448211576225645,0.00214051545330122,2.733,0.473217640134996,2.27662912067436,0.44796804339602,2.06195965185912,0.466327398361229,0.800698086833641,0.217913215565772
"11",411,0.00270404580395629,0.00353352082885656,0.00607610018553322,0.00842724202903276,2.413,0.665487696260323,NA,NA,Inf,Inf,NA,NA
"12",412,0.00154083204930663,0,0.0461178007317365,0,2,0,1.06307207015247,0,1.02252185792938,0,0.0611628958879836,0
"13",449,0.00280827668180698,0.00559275375437123,0.0146986293874003,0.0130368907957212,1.712,0.713838613109127,NA,NA,Inf,Inf,NA,NA
"14",450,0.00342958120125374,0.00788772320292089,0.00730378476655478,0.00748409846079198,1.681,0.837819157659301,NA,NA,Inf,Inf,NA,NA
"15",453,0.00343718338399189,0.00531622691738624,0.00706467409658899,0.00379183709684534,1.188,0.605824250936709,NA,NA,Inf,Inf,NA,NA
"16",454,0.00407124681933842,0,0.00626560249256801,0,3,0,2.67634703250926,0,2.40903531537004,0,0.984452817157254,0
"17",458,0.00502404831081732,0.00409189218671822,0.00751086066164281,0.00451109710305265,3,0,2.10103775508735,0.409030377121957,1.83970999221812,0.434577237007272,0.72249581667274,0.203020609589727
"18",465,0.00369020143120544,0.00250124088119784,0.00448730560903131,0.00147800060312763,3,0,2.27679440219742,0.272679518504626,1.98306317583641,0.342327209193766,0.815591981342493,0.119967594993013
"19",467,0.00455768285370182,0.00349905100796679,0.00530285547841016,0.00292337657751914,2.555,0.607737068430368,NA,NA,Inf,Inf,NA,NA
"20",468,0.00102658802780174,3.95032223948674e-06,0.00154563350959649,0.000509617137299193,2.261,0.43939967236227,1.92737018760611,0.305997503025678,1.73965225181911,0.264877334716506,0.644007140305761,0.154526415136123
"21",505,0.000825626176002315,0.000510578752641007,0.00252337277367839,0.0020008257564719,2.141,0.655399533527869,1.68572151491424,0.534644536329355,1.55900832746102,0.521557390649064,0.473910071627367,0.309727980170058
"22",506,0.00233605670167771,0.0041091061242577,0.00680300423745941,0.00667603198728675,1.934,0.732243252055063,NA,NA,Inf,Inf,NA,NA
"23",507,0.00838296022388177,0.00923371551901993,0.0146881870041232,0.011096428761325,2.742,0.437752929890398,1.93714542773537,0.448672157860523,1.70839437233797,0.434819638151737,0.633426171915662,0.238900740014144
"24",519,0.00456829054777216,0.0026781306748778,0.00518220783559306,0.00244361310287745,2.484,0.593376858409641,2.17548043302112,0.53262821931608,2.02743033802387,0.518476258006437,0.74273392621248,0.274326550016545
"25",520,0.00285647019716861,0.00275878889963049,0.00414404318166384,0.00299560773400276,2.523,0.609789179014226,NA,NA,Inf,Inf,NA,NA
"26",521,0.00530363153176634,0.00342087544216647,0.00661536793152768,0.00438609482088175,2.93,0.255274685711617,2.39660999840459,0.423195817899996,2.17638827318168,0.482838085914665,0.856502277453076,0.193697204918096
"27",522,0.00520365767030179,0.00371855409465374,0.00620822999280332,0.00348578311959868,2.449,0.637028103622441,NA,NA,Inf,Inf,NA,NA
"28",523,0.00428852867195861,0.00149831487131142,0.00448060363394626,0.00143356121799077,2.815,0.38849186082327,2.59468705794701,0.380219825199652,2.44562737781334,0.401176362182396,0.941106740801139,0.163067855230726
"29",527,0.00194420757532669,0.00204226721420008,0.00254912906798347,0.0016336466547923,1.805,0.789682593577063,NA,NA,Inf,Inf,NA,NA
"30",528,0.00201277292152071,0.000561976039624904,0.00218207613926618,0.0006750351832657,2.657,0.474949025240157,2.45908014809074,0.442920002795002,2.31893608221279,0.441058269546253,0.882167922992245,0.191762013872962
"31",559,0.000303951367781154,0.000464525704427811,0.000502195204322863,0.000350795637383627,1.117,0.708387473641942,NA,NA,Inf,Inf,NA,NA
"32",560,0.00315705654996435,0.00224235659694759,0.00338355473000863,0.00141748675027278,2.128,0.651183568619508,1.93245177905528,0.550477604155792,1.81702869407565,0.50767406651042,0.612798732505848,0.315396199238906
"33",561,0.00146384762924305,0.000587481915181406,0.00809464443147071,0.00531709750066502,2.392,0.488440963243843,1.58398699072408,0.485024959147936,1.44616949732604,0.478342437448085,0.419656941053441,0.274289957938457
"34",562,0.000511705685618728,0.000501822870513561,0.00075837921971132,0.000283077551710694,1.51,0.500150127611851,1.45238593883629,0.443648794193675,1.40560877746796,0.39777506237468,0.323852462441225,0.317597745916451
"35",564,0.00141360483015735,0.0013474721247653,0.00522803472203242,0.00522923694639889,1.865,0.728907611639706,NA,NA,Inf,Inf,NA,NA
"36",568,0.0040416089549116,7.3518311842764e-05,0.00377589495431402,0.000587721188296817,3,0,2.63489053621306,0.176932282819242,2.46602500794913,0.240378808886238,0.966678941891082,0.0651313666926712
"37",574,0.00127901234567901,0.00123438498873615,0.00145719825628301,0.000490803832587106,1.518,0.499925920438149,1.5073868732577,0.489683107396884,1.49716521122953,0.479818100065145,0.353716307990699,0.341374422483074
"38",576,0.00635979744963814,0.00441508852137063,0.00770996864662112,0.00438527358530268,2.866,0.343747235861121,2.28865708342992,0.458526851833766,2.0769116715773,0.498775219088137,0.805626598991079,0.218126095445324
"39",577,0.00646674994742961,0.00383849381636911,0.00782057954006231,0.00451052720095083,2.921,0.26987373312687,2.41305613467296,0.409743289427274,2.20215389207358,0.462717382772295,0.864756098147557,0.185489957963572
"40",578,0.00476833167450283,0.00281496325687873,0.00577899864760749,0.00310838446645061,2.731,0.476304383630747,2.31008161824188,0.496980664376115,2.12564667540747,0.520274993899075,0.810573932334664,0.240949404937311
"41",579,0.00551189530839761,0.00330129264761173,0.00648446456640787,0.00354159896354582,2.68,0.530925495603553,NA,NA,Inf,Inf,NA,NA
"42",580,0.00522552963719205,0.0042362678432405,0.00706640499995364,0.00530640897184309,2.707,0.507354322351163,2.201863174188,0.526751847565784,2.01349774066368,0.542892909167112,0.756642671252655,0.265844360386716
"43",582,0.00185298734660901,0.00330500997254265,0.00423006092677835,0.00459561102938488,1.953,0.808359106118342,NA,NA,Inf,Inf,NA,NA
"44",583,0.0037529135291552,0.00537027886854704,0.00665748588747175,0.00674414504392286,2.491,0.640569535124273,NA,NA,Inf,Inf,NA,NA
"45",614,0.00597780868607933,0.012330202166154,0.0143047364913658,0.0133982307886007,2.154,0.734045518222688,NA,NA,Inf,Inf,NA,NA
"46",623,0.00329280648429585,0,0.00453540631130506,0.0012196169596219,3,0,2.35917781871432,0.25072745139333,2.06376739720924,0.31250299872457,0.852678510888416,0.106138634172742
"47",631,0.0066457624872644,0.00560119678216281,0.0146360144239417,0.0172747357351573,2.856,0.351265408754388,2.08070195124264,0.510683098847824,1.86284231104971,0.518434341071444,0.699676468429059,0.26411116161326
"48",632,0.0058888094825036,0.00283401864800586,0.00619253697407692,0.00234397859611306,2.827,0.37843653921657,2.38001740300935,0.438733612711405,2.19942995750343,0.48281023873263,0.848205473763761,0.20051197314195
"49",634,0.00469645897878971,0.00316846384463458,0.00563486854131493,0.00254320850776881,3,0,2.49277493762406,0.313186513752849,2.24218149540519,0.41213533663411,0.905091297631809,0.130793255944214
"50",637,0.00284833939567018,0.00189778605761614,0.00298246634510054,0.00110502189004846,2.567,0.495738597202961,2.1898479994605,0.430178853025419,1.99910699342134,0.432178542431426,0.763589980530558,0.203982612308959
"51",669,0.00188935916183881,0.00269079301435963,0.00421737282014296,0.00416191786951713,2.236,0.707675635305331,NA,NA,Inf,Inf,NA,NA
"52",686,0.00552942877273109,0.00458795831604147,0.00718129126566875,0.00497722740177177,2.814,0.414216821936981,2.16622450896023,0.465963971606591,1.94779243718514,0.492518719424323,0.747501570887752,0.232658095440362
"53",689,0.0109582911101839,0.0147779819582849,0.0205307467753371,0.0172137752684179,3,0,2.19414602057271,0.535294912634471,1.96307370433473,0.580083112976683,0.753034746310623,0.262736229706878
"54",693,0.00505870490318391,0,0.00694842401767115,0,3,0,2.68813486290163,0,2.4316856333279,0,0.988847593612749,0
"55",724,0.00495713920241699,0.000392533290744194,0.0086305514101489,0.00280885087154183,3,0,2.15295952502651,0.316100593040197,1.84236967386022,0.372284710983609,0.756402228666355,0.143440713355376
"56",725,0.00173979978366067,0.00126024421533273,0.00194065100308056,0.00104349342322049,2.332,0.718534823298279,NA,NA,Inf,Inf,NA,NA
"57",742,0.00537098505908768,0.00423792500614019,0.00774434867579164,0.00559786210671148,3,0,2.34743788930892,0.430239257098949,2.10231682569752,0.500741852697968,0.834560298860502,0.199896181356516
"58",744,0.00801265676915375,0.00991719799988781,0.0131992689754285,0.0114815953586624,2.607,0.544837450849193,NA,NA,Inf,Inf,NA,NA
"59",776,0.00159457083760039,0.00136563241811573,0.00217460739440647,0.00133290556086888,2.487,0.584955701889616,2.02777305468778,0.500302835658775,1.84290003870854,0.488226544552393,0.673736527022561,0.265264816800901
"60",777,0.00468329346858833,0.00371332081925276,0.00564741923825364,0.00303193839239302,2.4,0.654544443432557,NA,NA,Inf,Inf,NA,NA
"61",778,0.00101317122593718,0,0.00506585612968593,0,2,0,1.27753191707406,0,1.14213197969543,0,0.244930026794634,0
"62",804,0,0,0.000464730961184863,0,1,0,1,0,1,0,0,0
"63",832,0.00297385948637067,0.00360185702476413,0.00460805942965562,0.00465311658442784,2.343,0.685434767735641,NA,NA,Inf,Inf,NA,NA
"64",833,0.0031211346908493,0.00509331644581738,0.00611910453976407,0.00724720608564095,2.44,0.663958463189411,NA,NA,Inf,Inf,NA,NA
"65",834,0.00605776584777076,0.0056765328609657,0.00899396492619966,0.00872837219070105,2.8,0.424476359978008,2.23586278168379,0.502456168565566,2.03126975099314,0.526404607269674,0.775912698959684,0.248807319554391
"66",887,0.00173580348699047,0.000700098144190262,0.0040956156326688,0.00161809541643869,3,0,2.098657883492,0.409951614621199,1.78047810594095,0.459098500157024,0.723491360946059,0.18558740079636
"67",914,0.00167781599531198,0.00112416281554594,0.00187626776053742,0.000703597946665408,1.792,0.600913552099718,1.74113351024017,0.561379041574021,1.69671791440098,0.526780920445814,0.497085382980956,0.349471195339256
"68",917,0.00603998047732477,0.0106804511766285,0.0122082097083153,0.0126633710027845,2.481,0.643469543221008,NA,NA,Inf,Inf,NA,NA
"69",941,0,0,0.00119419115163796,0.00141563360336953,0.416,0.49314012936202,NA,NA,Inf,Inf,NA,NA
"70",942,0.00102859121722583,0.00107840158729329,0.00161829983295313,0.00103834680185596,1.807,0.704448186346761,NA,NA,Inf,Inf,NA,NA
"71",943,0.00183334354922937,0.000475389101455358,0.00196613909430913,0.000636090977144623,2.51,0.500150127611851,2.30998515827079,0.45401247334842,2.17371971887231,0.438941642812139,0.817505773500018,0.199850667942958
"72",972,0.00284571167555028,0.00521749862125554,0.00756476404159352,0.00869713521098377,1.885,0.782551843258573,NA,NA,Inf,Inf,NA,NA
"73",976,0.00282506337517644,0.00707925749865176,0.0201933611539589,0.0347271342295752,1.645,0.771732188372737,NA,NA,Inf,Inf,NA,NA
"74",996,0.00462629883768482,0.00796433836763325,0.00775144652585612,0.00823722109986165,2.304,0.718401071895153,NA,NA,Inf,Inf,NA,NA
"75",997,0.00216018237082067,0.00323197101558753,0.0175149399558603,0.0130271450425837,1.199,0.61626194006995,NA,NA,Inf,Inf,NA,NA
"76",1002,0,0,0,0,0,0,NA,NA,Inf,Inf,NA,NA
"77",1023,0.00157577823221995,0.000485688308763336,0.00218296899557361,0.000477712017669025,3,0,2.57604356042311,0.180224869429572,2.29684645133665,0.266526278814181,0.943832484181852,0.0694890752621893
"78",1024,0.00118762776640665,0.000952940238562989,0.00176517012071782,0.00136816522093197,2.349,0.685323769227856,NA,NA,Inf,Inf,NA,NA
"79",1031,0,0,0.00204835924006908,0.00169782623130122,0.593,0.491520693961704,NA,NA,Inf,Inf,NA,NA
"80",1043,0.00111204219964299,0.000946240900018475,0.00139556858265205,0.000799074152692726,2.025,0.772639613255738,NA,NA,Inf,Inf,NA,NA
"81",1051,0.00788773666170757,0.0121472442678253,0.0119853367290629,0.00995017141741182,2.177,0.779922611083486,NA,NA,Inf,Inf,NA,NA
"82",1052,0.00467051804554169,0.00761496295631914,0.00894054176102746,0.00932066403228783,2.326,0.707265313884556,NA,NA,Inf,Inf,NA,NA
"83",1072,0.00102406554019457,0,0.0103141780561135,0,3,0,1.2739882792329,0,1.11310558887915,0,0.242152357133478,0
"84",1081,0.00329219813203032,0.00354325759775237,0.00564433735674068,0.00529691483564246,2.283,0.712333081092279,NA,NA,Inf,Inf,NA,NA
"85",1084,0.00425339216043517,0.00242167695417534,0.00713811400699269,0.00716323173962125,2.687,0.501280642237744,2.1618188521788,0.536672640778832,1.98090110758195,0.560199232551858,0.73682456998766,0.269307516331875
"86",1087,0.00395408840291134,0.0115261784612117,0.0235791377565059,0.0394118535536629,1.556,0.823129115960274,NA,NA,Inf,Inf,NA,NA
"87",1106,0.000600355239786856,0.000592304512416291,0.00155490890157003,0.00070252907397256,1.507,0.500201160735561,1.31682018423255,0.312571644768388,1.22474085245649,0.221727091249378,0.246118728699112,0.242818291467566
"88",1136,0.00301620646205945,0.00212638095727278,0.00492460231654694,0.00478623398281492,2.407,0.640125582023371,NA,NA,Inf,Inf,NA,NA
