"","cells","pi"
"1","583",0.00227963525835866
"2","1043",0.00143149284253579
"3","1587",0.00152671755725191
"4","3148",0
"5","1587",0.00323054331864905
"6","1043",0
"7","1587",0.000978952520802741
"8","2337",0
"9","2337",0.000859106529209622
"10","1087",0
"11","2610",0
"12","3148",0.00206252713851498
"13","2129",0.00197195442594216
"14","2238",0.000618238021638331
"15","2231",0.00962512664640324
"16","2237",0.00173686495874946
"17","2237",0.0109422492401216
"18","1555",0.00243161094224924
"19","2454",0
"20","996",0.0036051026067665
"21","996",0.00709219858156028
"22","2231",0.00121580547112462
"23","2778",0.00353119971392812
"24","583",0.00911854103343465
"25","1136",0.00558300446433196
"26","1084",0.00101317122593718
"27","1136",0.0060790273556231
"28","527",0.00673665791776028
"29","725",0.00557244174265451
"30","1804",0.00405268490374873
"31","2231",0
"32","527",0
"33","583",0.00320837554880108
"34","1723",0.00507356671740233
"35","1892",0.0010498687664042
"36","1084",0.00709219858156028
"37","1804",0.000759878419452888
"38","1084",0.00307692307692308
"39","1136",0.00516795865633075
"40","1804",0.00229885057471264
"41","527",0.00763512155917219
"42","583",0.00227963525835866
"43","917",0.00332899117093646
"44","527",0.00603674540682415
"45","583",0.00250187640730548
"46","583",0
"47","2341",0.00405268490374873
"48","2231",0.00385366912722536
"49","2227",0.00182370820668693
"50","2231",0.000759878419452888
"51","2778",0
"52","2231",0.00202634245187437
"53","1331",0
"54","583",0.000759878419452888
"55","1500",0.000846023688663283
"56","1500",0.00138600138600139
"57","527",0.00316455696202532
"58","1668",0.0156507413509061
"59","2454",0.00192502532928065
"60","1087",0.000798722044728434
"61","411",0.000613496932515337
"62","2231",0.00119409465914025
"63","2231",0.000379939209726444
"64","2237",0
"65","2337",0.00192122958693564
"66","2337",0.00288600288600289
"67","2610",0.00214822771213749
"68","411",0.0162826420890937
"69","976",0.00101867572156197
"70","2227",0.00202634245187437
"71","2337",0.00709219858156028
"72","2557",0.000759878419452888
"73","2778",0.00405268490374873
"74","2237",0.000993305123467827
"75","2237",0.00115740740740741
"76","2237",0.000713825181910288
"77","2237",0.00202634245187437
"78","2237",0
"79","2237",0.00248344370860927
"80","2237",0
"81","2237",0.000506585612968592
"82","2237",0.000379939209726444
"83","2237",0.00060790273556231
"84","2237",0
"85","2237",0.00091324200913242
"86","2282",0
"87","583",0.00384615384615385
"88","2291",0.00261643118785976
"89","2337",0.00288184438040346
"90","519",0.00333333333333333
"91","1587",0
"92","614",0.00303951367781155
"93","832",0
"94","2237",0.00303951367781155
"95","2237",0.00202634245187437
"96","583",0
"97","2166",0.00289017341040462
"98","2231",0
"99","2337",0.00672430355427474
"100","2166",0.000960614793467819
"101","2337",0
"102","410",0.00838414634146342
"103","521",0.0131977884786874
"104","576",0.0111690211676496
"105","577",0.0115522481103405
"106","578",0.0119299172389505
"107","579",0.0117996511881404
"108","686",0.0116692034500254
"109","744",0.0105820105820106
"110","2237",0.00121580547112462
"111","2337",0.00151515151515152
"112","1500",0.00784313725490196
"113","579",0.00437710437710438
"114","976",0
"115","832",0.00889929742388759
"116","833",0.00416040100250627
"117","832",0
"118","833",0.0050314465408805
"119","832",0.00475721528353107
"120","833",0.00335964379680227
"121","833",0.00208333333333333
"122","833",0.000984236591729288
"123","833",0.0403603603603604
"124","832",0.000825082508250825
"125","833",0.0039968849492659
"126","833",0.00802139037433155
"127","832",0.0062260915446511
"128","833",0.00556425388413826
"129","833",0
"130","2231",0.00260529743812419
"131","2337",0.00223713646532438
"132","2557",0.00506585612968592
"133","2227",0.00182370820668693
"134","2337",0.00151975683890578
"135","2337",0.00299850074962519
"136","2231",0.00101317122593718
"137","976",0.00436640654031958
"138","833",0.00205415499533147
"139","832",0.00741677201854193
"140","833",0.00836334533813525
"141","832",0.000751503006012024
"142","832",0.00172013017201302
"143","832",0.00217108119843682
"144","832",0.000217013888888889
"145","832",0.00146327187591455
"146","832",0.00303951367781155
"147","832",0
"148","832",0.00133511348464619
"149","2337",0
"150","2237",0
"151","1438",0.00107066381156317
"152","583",0.00202634245187437
"153","832",0.00972862263184844
"154","1136",0.0087895893367018
"155","2067",0.00962512664640324
"156","2075",0.0031661600810537
"157","2231",0.0110725141120278
"158","2337",0.00723208415516108
"159","614",0.000506585612968592
"160","834",0.0106382978723404
"161","1081",0.00175660206055343
"162","1136",0.00108685640600534
"163","917",0.00103005741303614
"164","1081",0.00714929616531447
"165","1136",0.00734549138804458
"166","2072",0.00886524822695035
"167","2231",0.00531914893617021
"168","917",0.00778488939454178
"169","834",0.00851063829787234
"170","834",0.0102432778489117
"171","3148",0.000868432479374729
"172","520",0.0128128128128128
"173","521",0.00222061971315088
"174","742",0.00228310502283105
"175","777",0.00101471334348047
"176","834",0.00643631436314363
"177","520",0.0137494148853175
"178","521",0.00680794430794431
"179","579",0.00631911532385466
"180","742",0.00332778702163062
"181","520",0.00111111111111111
"182","2227",0.00395136778115501
"183","2337",0.000647249190938511
"184","3095",0.00302933673469388
"185","2337",0.00075187969924812
"186","583",0.0800405268490375
"187","2237",0.0010498687664042
"188","3148",0.00263296471827278
"189","972",0.00472813238770686
"190","2337",0
"191","2237",0.00101317122593718
"192","2067",0
"193","2129",0.00203562340966921
"194","2018",0.00198675496688742
"195","583",0.00547112462006079
"196","583",0
"197","583",0
"198","917",0.0161667315932996
"199","972",0.0381102126385145
"200","917",0.00101317122593718
"201","3094",0
"202","2231",0.00202634245187437
"203","2237",0.00202634245187437
"204","2067",0.00275027502750275
"205","2610",0
"206","2067",0.00311526479750779
"207","2231",0.0060790273556231
"208","1087",0.0687063875469673
"209","2874",0.00453955901426719
"210","2817",0.00157977883096367
"211","1052",0.00202634245187437
"212","1052",0.00421274354923644
"213","1043",0.00204498977505112
"214","1051",0.0212892281594572
"215","996",0.0351063829787234
"216","996",0.00202634245187437
"217","2337",0.00204498977505112
"218","2231",0.00060790273556231
"219","2231",0.00476190476190476
"220","2231",0.00101317122593718
"221","2237",0
"222","2237",0
"223","2237",0.00405268490374873
"224","2237",0.00547112462006079
"225","2237",0
"226","2237",0
"227","2237",0.00785207700101317
"228","2337",0.00293255131964809
"229","2337",0
"230","2009",0
"231","583",0.0192502532928065
"232","583",0.0567375886524823
"233","1052",0.00759878419452887
"234","996",0
"235","2237",0.00810536980749747
"236","2282",0.00102092904543134
"237","2557",0.00379939209726444
"238","2778",0
"239","2130",0
"240","2110",0.00288600288600289
"241","2231",0.000960614793467819
"242","2337",0.000721500721500722
"243","1804",0.0030441400304414
"244","506",0
"245","527",0
"246","583",0.00600876955556758
"247","2076",0
"248","1723",0.0109243697478992
"249","583",0.0032
"250","1723",0.00423076923076923
"251","583",0.00869754294411829
"252","833",0.00101317122593718
"253","1723",0
"254","583",0.0069094304388422
"255","521",0.00457172479209406
"256","742",0.00427480916030534
"257","834",0.00304130120643882
"258","519",0.0126811594202899
"259","521",0.00895998411526362
"260","576",0.00857612781954887
"261","577",0.0085725677830941
"262","580",0.0045462256149279
"263","634",0.00505544683626875
"264","686",0.00796324655436447
"265","744",0.00811770674784373
"266","411",0.00224604389994895
"267","467",0.00261101581856299
"268","523",0.00425716016267197
"269","576",0.00300873340400828
"270","631",0.0373525557011796
"271","686",0.00224900547481193
"272","744",0.0621874320504457
"273","467",0.0150205761316872
"274","521",0.0176850039863738
"275","522",0.0141093474426808
"276","576",0.0131002331002331
"277","577",0.020420877422423
"278","580",0.0112130479102956
"279","686",0.0162354134956875
"280","742",0.00795107033639144
"281","744",0.0190766108574328
"282","2071",0.0101936799184506
"283","410",0.00101471334348047
"284","411",0.00152671755725191
"285","467",0.0126578764746704
"286","521",0.00677083333333333
"287","522",0.0100456621004566
"288","523",0.00568239472349061
"289","576",0.0119233922050823
"290","577",0.0127647506604773
"291","579",0.0091324200913242
"292","689",0.0623052959501558
"293","744",0.0507356671740233
"294","834",0.00894077410407115
"295","2071",0.00502899877899878
"296","410",0.00584680712069247
"297","467",0.0056276053728578
"298","519",0.00605592966704078
"299","522",0.00716005633546863
"300","523",0.00605585636933599
"301","576",0.00687284253428659
"302","577",0.00694031437468878
"303","578",0.00753751409489114
