"","cells","median.pi.avg","median.pi.sd","mean.pi.avg","mean.pi.sd","hill.zero.avg","hill.zero.sd","hill.one.avg","hill.one.sd","hill.two.avg","hill.two.sd","shannon.avg","shannon.sd"
"1",176,0.000273368937026414,0.000324027893897577,0.0137447227888547,0.0091101038910085,2.485,0.728220643284236,1.35235636569116,0.281339998662186,1.22492092553002,0.221174851350554,0.280254202030005,0.207836726871437
"2",231,0.00151975683890578,0,0.0218920236435821,0,3,0,1.50974587096085,0,1.2749071075998,0,0.41194133928632,0
"3",233,0.000634512511286237,0.000782162909561173,0.00218510097360706,0.00213188251013296,2.476,0.983051570565048,NA,NA,Inf,Inf,NA,NA
"4",238,0.00294806602039434,0.0010902959865544,0.0256791889426381,0.00729768008527187,3.305,0.460637804774194,1.87807461304339,0.356133760923833,1.65091607529798,0.334501724942923,0.610003699331593,0.207322376016353
"5",291,0.00121580547112462,0,0.00967484407425013,0,4,0,1.74235314761199,0,1.36947452961357,0,0.555236583264314,0
"6",344,0.00655486683472037,0.00151753363365962,0.00697837519548702,0.00107421138570822,5,0,4.18259161385762,0.258111641741668,3.77890460219073,0.326395291133564,1.42905487092202,0.0610840388008792
"7",345,0.0053860488612793,0.00176861013330312,0.00913281810534926,0.00262512527364569,4.288,0.45305767983918,2.89621355013248,0.441832312665054,2.40555627781604,0.416623529645079,1.05138961725463,0.156645393461752
"8",410,0.00374250851383747,0.00229533142170219,0.00449497238777213,0.00163361808308714,4.531,0.566886549814304,3.6012180674347,0.579010767338814,3.15397446571878,0.632406101918181,1.26737638728976,0.170488273054081
"9",411,0.00221504801827084,0.00196843514911606,0.00655031655455646,0.00685326851281419,4.014,0.852367602933458,2.65568622666982,0.825181778005189,2.25587951553599,0.782961911713284,0.92463191766355,0.331622047742856
"10",449,0.000792299898682876,0.000494188651560293,0.0142832925750873,0.00712197597073953,2.861,0.624555096904243,1.51998511583457,0.260520950969167,1.32238820434506,0.215587721188254,0.402872915297602,0.181482549420241
"11",450,0.00178450015583509,0.00440168035818054,0.00715673000489992,0.00555896338514196,2.768,1.01548373064624,NA,NA,Inf,Inf,NA,NA
"12",453,0,0,0.00699088145896656,0,2,0,1.88988157484231,0,1.8,0,0.636514168294813,0
"13",458,0.00438257127540828,0.00172684155393453,0.0076642749517977,0.00286190955863661,5,0,3.10565086682457,0.535143555393537,2.53443704757434,0.559302141645392,1.11773866711028,0.178481549660443
"14",465,0.00243531202435312,0,0.00454389607496858,0,5,0,3.58011790950881,0,3.01878650704323,0,1.27539573548723,0
"15",467,0.00443719762913004,0.00274922461449194,0.00549813632668279,0.0021358363626424,4.324,0.711005998237378,3.37013163190226,0.684449450550212,2.98335704766418,0.69043673861172,1.1925707913507,0.217156697233294
"16",505,0.000796099290780141,0.000140376294323586,0.00241892074790627,0.00109911825813784,3.54,0.571600145842114,2.22961723468706,0.625163053877768,1.86161492456659,0.67172870415327,0.766407400776929,0.260307453482111
"17",506,0.00117880283193086,0.00115829416857335,0.00640906475883738,0.00438392652375294,3.179,0.845975575696295,1.9517438216093,0.547816222342923,1.66524228921022,0.472382082146946,0.629285214961472,0.282733662174328
