"","cells","pi"
"1","583",0.00227963525835866
"2","1043",0.00143149284253579
"3","1587",0.00152671755725191
"4","3148",0
"5","2982",0
"6","1587",0.00323054331864905
"7","1043",0
"8","1587",0.000978952520802741
"9","2337",0
"10","2337",0.000859106529209622
"11","1087",0
"12","2610",0
"13","2982",0.00168350168350168
"14","3148",0.00206252713851498
"15","2129",0.00197195442594216
"16","2238",0.000618238021638331
"17","2231",0.00962512664640324
"18","2237",0.00173686495874946
"19","2237",0.0109422492401216
"20","1555",0.00243161094224924
"21","2454",0
"22","996",0.0036051026067665
"23","996",0.00709219858156028
"24","2231",0.00121580547112462
"25","2778",0.00353119971392812
"26","583",0.00911854103343465
"27","1136",0.00558300446433196
"28","1084",0.00101317122593718
"29","1136",0.0060790273556231
"30","527",0.00673665791776028
"31","725",0.00557244174265451
"32","1804",0.00405268490374873
"33","2231",0
"34","527",0
"35","583",0.00320837554880108
"36","1723",0.00507356671740233
"37","1892",0.0010498687664042
"38","1084",0.00709219858156028
"39","1804",0.000759878419452888
"40","1084",0.00307692307692308
"41","1136",0.00516795865633075
"42","1613",0.0134228187919463
"43","1804",0.00229885057471264
"44","527",0.00763512155917219
"45","583",0.00227963525835866
"46","917",0.00332899117093646
"47","527",0.00603674540682415
"48","583",0.00250187640730548
"49","583",0
"50","2341",0.00405268490374873
"51","2231",0.00385366912722536
"52","2227",0.00182370820668693
"53","2231",0.000759878419452888
"54","2778",0
"55","2231",0.00202634245187437
"56","1331",0
"57","583",0.000759878419452888
"58","1500",0.000846023688663283
"59","1500",0.00138600138600139
"60","527",0.00316455696202532
"61","1668",0.0156507413509061
"62","2454",0.00192502532928065
"63","1087",0.000798722044728434
"64","411",0.000613496932515337
"65","2231",0.00119409465914025
"66","2231",0.000379939209726444
"67","2184",0.0053680981595092
"68","2237",0
"69","2337",0.00192122958693564
"70","2337",0.00288600288600289
"71","2610",0.00214822771213749
"72","411",0.0162826420890937
"73","976",0.00101867572156197
"74","2227",0.00202634245187437
"75","2337",0.00709219858156028
"76","2557",0.000759878419452888
"77","2778",0.00405268490374873
"78","2237",0.000993305123467827
"79","2237",0.00115740740740741
"80","2237",0.000713825181910288
"81","2237",0.00202634245187437
"82","2237",0
"83","2237",0.00248344370860927
"84","2237",0
"85","2237",0.000506585612968592
"86","2237",0.000379939209726444
"87","2237",0.00060790273556231
"88","2237",0
"89","2237",0.00091324200913242
"90","2282",0
"91","583",0.00384615384615385
"92","1624",0
"93","2291",0.00261643118785976
"94","2337",0.00288184438040346
"95","519",0.00333333333333333
"96","1587",0
"97","614",0.00303951367781155
"98","832",0
"99","1722",0.00202634245187437
"100","2237",0.00303951367781155
"101","2237",0.00202634245187437
"102","583",0
"103","2166",0.00289017341040462
"104","2231",0
"105","2337",0.00672430355427474
"106","2166",0.000960614793467819
"107","2337",0
"108","410",0.00838414634146342
"109","521",0.0131977884786874
"110","576",0.0111690211676496
"111","577",0.0115522481103405
"112","578",0.0119299172389505
"113","579",0.0117996511881404
"114","686",0.0116692034500254
"115","744",0.0105820105820106
"116","2237",0.00121580547112462
"117","2337",0.00151515151515152
"118","1500",0.00784313725490196
"119","579",0.00437710437710438
"120","976",0
"121","832",0.00889929742388759
"122","833",0.00416040100250627
"123","832",0
"124","833",0.0050314465408805
"125","832",0.00475721528353107
"126","833",0.00335964379680227
"127","833",0.00208333333333333
"128","833",0.000984236591729288
"129","833",0.0403603603603604
"130","832",0.000825082508250825
"131","833",0.0039968849492659
"132","833",0.00802139037433155
"133","832",0.0062260915446511
"134","833",0.00556425388413826
"135","833",0
"136","2231",0.00260529743812419
"137","2337",0.00223713646532438
"138","2557",0.00506585612968592
"139","2227",0.00182370820668693
"140","2337",0.00151975683890578
"141","2337",0.00299850074962519
"142","2231",0.00101317122593718
"143","2184",0.00184049079754601
"144","976",0.00436640654031958
"145","833",0.00205415499533147
"146","832",0.00741677201854193
"147","833",0.00836334533813525
"148","832",0.000751503006012024
"149","832",0.00172013017201302
"150","832",0.00217108119843682
"151","832",0.000217013888888889
"152","832",0.00146327187591455
"153","832",0.00303951367781155
"154","832",0
"155","832",0.00133511348464619
"156","2337",0
"157","2237",0
"158","1438",0.00107066381156317
"159","1549",0.00102406554019457
"160","583",0.00202634245187437
"161","832",0.00972862263184844
"162","1136",0.0087895893367018
"163","1915",0.000759878419452888
"164","2067",0.00962512664640324
"165","2075",0.0031661600810537
"166","2183",0.011173740465614
"167","2231",0.0110725141120278
"168","2337",0.00723208415516108
"169","2455",0.0106382978723404
"170","2666",0.00932337744481957
"171","614",0.000506585612968592
"172","941",0.00861195542046606
"173","834",0.0106382978723404
"174","1081",0.00175660206055343
"175","1136",0.00108685640600534
"176","917",0.00103005741303614
"177","1081",0.00714929616531447
"178","1136",0.00734549138804458
"179","1249",0.0060790273556231
"180","1745",0.011144883485309
"181","1915",0.00463163988999855
"182","2015",0.00810536980749747
"183","2022",0.00227963525835866
"184","2072",0.00886524822695035
"185","2183",0.00173686495874946
"186","2231",0.00531914893617021
"187","917",0.00778488939454178
"188","2183",0.00405268490374873
"189","834",0.00851063829787234
"190","834",0.0102432778489117
"191","3148",0.000868432479374729
"192","520",0.0128128128128128
"193","521",0.00222061971315088
"194","742",0.00228310502283105
"195","777",0.00101471334348047
"196","834",0.00643631436314363
"197","520",0.0137494148853175
"198","521",0.00680794430794431
"199","579",0.00631911532385466
"200","742",0.00332778702163062
"201","520",0.00111111111111111
"202","2227",0.00395136778115501
"203","2337",0.000647249190938511
"204","3095",0.00302933673469388
"205","2337",0.00075187969924812
"206","583",0.0800405268490375
"207","2237",0.0010498687664042
"208","3148",0.00263296471827278
"209","972",0.00472813238770686
"210","2337",0
"211","2237",0.00101317122593718
"212","2015",0.00628019323671498
"213","2067",0
"214","2129",0.00203562340966921
"215","2018",0.00198675496688742
"216","583",0.00547112462006079
"217","583",0
"218","583",0
"219","917",0.0161667315932996
"220","972",0.0381102126385145
"221","917",0.00101317122593718
"222","3094",0
"223","2231",0.00202634245187437
"224","2237",0.00202634245187437
"225","2067",0.00275027502750275
"226","2610",0
"227","2067",0.00311526479750779
"228","2073",0.00186915887850467
"229","2231",0.0060790273556231
"230","1087",0.0687063875469673
"231","2874",0.00453955901426719
"232","2817",0.00157977883096367
"233","1052",0.00202634245187437
"234","1052",0.00421274354923644
"235","1043",0.00204498977505112
"236","231",0
"237","1051",0.0212892281594572
"238","996",0.0351063829787234
"239","996",0.00202634245187437
"240","2337",0.00204498977505112
"241","2231",0.00060790273556231
"242","2231",0.00476190476190476
"243","2231",0.00101317122593718
"244","2237",0
"245","2237",0
"246","2237",0.00405268490374873
"247","2237",0.00547112462006079
"248","2237",0
"249","2237",0
"250","2237",0.00785207700101317
"251","2337",0.00293255131964809
"252","2337",0
"253","2009",0
"254","583",0.0192502532928065
"255","583",0.0567375886524823
"256","1052",0.00759878419452887
"257","996",0
"258","2237",0.00810536980749747
"259","2282",0.00102092904543134
"260","2557",0.00379939209726444
"261","2778",0
"262","2130",0
"263","2110",0.00288600288600289
"264","2231",0.000960614793467819
"265","2337",0.000721500721500722
"266","1722",0.00192122958693564
"267","1804",0.0030441400304414
"268","506",0
"269","527",0
"270","583",0.00600876955556758
"271","2076",0
"272","1723",0.0109243697478992
"273","583",0.0032
"274","1723",0.00423076923076923
"275","583",0.00869754294411829
"276","833",0.00101317122593718
"277","1249",0
"278","1723",0
"279","583",0.0069094304388422
"280","521",0.00457172479209406
"281","742",0.00427480916030534
"282","834",0.00304130120643882
"283","519",0.0126811594202899
"284","521",0.00895998411526362
"285","576",0.00857612781954887
"286","577",0.0085725677830941
"287","580",0.0045462256149279
"288","634",0.00505544683626875
"289","686",0.00796324655436447
"290","744",0.00811770674784373
"291","411",0.00224604389994895
"292","467",0.00261101581856299
"293","523",0.00425716016267197
"294","576",0.00300873340400828
"295","631",0.0373525557011796
"296","686",0.00224900547481193
"297","744",0.0621874320504457
"298","467",0.0150205761316872
"299","521",0.0176850039863738
"300","522",0.0141093474426808
"301","576",0.0131002331002331
"302","577",0.020420877422423
"303","580",0.0112130479102956
"304","686",0.0162354134956875
