"","V1"
"457",8183323
"458",8035698
"459",1377333
"460",1866556
"461",1866568
"462",1046911
"463",4457995
"464",4487205
"465",4487208
"466",1196132
"467",2577367
"468",4427283
"469",4427286
"470",1095893
"471",4427320
"472",4427293
"473",1095905
"474",1095903
"475",1095904
"476",1095892
"477",4427298
"478",1095906
"479",1095899
"480",1095895
"481",5371742
"482",5729397
"483",2889355
"484",8927100
"485",2657504
"486",2657432
"487",2657472
"488",2657657
"489",2657657
"490",2657651
"491",2657641
"492",5163968
"493",8082584
"494",4554009
"495",8415576
"496",9198247
"497",8194699
"498",2082986
"499",2082988
"500",8318877
"501",2442665
"502",7438067
"503",2212761
"504",4427567
"505",3195275
"506",1316075
"507",1232252
"508",1232260
"509",1232255
"510",1232238
"511",1232261
"512",1309465
"513",3202936
"514",3202941
"515",4414378
"516",4559429
"517",4559460
"518",4559431
"519",1364062
"520",1364024
"521",1309635
"522",1269247
"523",1269194
"524",1598968
"525",2072673
"526",2072061
"527",2072677
"528",2072331
"529",2072221
"530",9083295
"531",2072474
"532",2072196
"533",2072384
"534",2072788
"535",2072648
"536",2072761
"537",2072087
"538",2072320
"539",2072687
"540",2049672
"541",1364756
"542",1364778
"543",1364694
"544",1364750
"545",1364769
"546",1364625
"547",1364679
"548",1364710
"549",1364706
"550",1364719
"551",1364732
"552",8549410
"553",1248553
"554",2510205
"555",2510183
"556",1341976
"557",1341976
"558",1341976
"559",2371265
"560",3631293
"561",5191262
"562",5191257
"563",2437760
"564",2661768
"565",7193045
"566",2397204
"567",2397095
"568",5853511
"569",1869858
"570",5328593
"571",2184263
"572",4345796
"573",2069916
"574",1848219
"575",8599762
"576",1387369
"577",1387093
"578",1386934
"579",1387805
"580",4498881
"581",4424793
"582",4424792
"583",4424002
"584",1420772
"585",2480506
"586",2480513
"587",2272084
"588",5959231
"589",5959227
"590",5959230
"591",1010410
"592",1010410
"593",2585551
"594",1166194
"595",1166198
"596",7942674
"597",1779258
"598",2479089
"599",2479101
"600",2479104
"601",2479105
"602",2479146
"603",2479115
"604",2479153
"605",2479159
"606",8077296
"607",1014453
"608",4314748
"609",2269489
"610",3114986
"611",6531334
"612",6531311
"613",4531354
"614",2233199
"615",2184918
"616",2184876
"617",6096907
"618",2888485
"619",5170973
"620",2114151
"621",1830221
"622",1830209
"623",1830284
"624",1830271
"625",4292492
"626",2508973
"627",2114793
"628",7533797
"629",2203834
"630",2203676
"631",2203739
"632",2203611
"633",2202347
"634",4486297
"635",5001658
"636",5001643
"637",2150089
"638",5180091
"639",3483444
"640",3483444
"641",7579869
"642",7463403
"643",8088608
"644",2703041
"645",4558661
"646",2284346
"647",6486731
"648",3170241
"649",3170247
"650",2615198
"651",2615083
"652",2615100
"653",2614776
"654",3542567
"655",2615061
"656",2615156
"657",2615125
"658",5482470
"659",3196524
"660",4382606
"661",4559169
"662",5279840
"663",5279834
"664",2768367
"665",2768503
"666",1188893
"667",2778437
"668",1592766
"669",5010835
"670",4463823
"671",6097763
"672",5161683
"673",5161761
"674",5161715
"675",5161787
"676",8236579
"677",2510275
"678",2510310
"679",5851603
"680",7834012
"681",7566891
"682",2226998
"683",8946295
"684",7765831
"685",3192610
"686",2332123
"687",5163002
"688",4484323
"689",4484310
"690",3193854
"691",1383131
"692",2370243
"693",2619683
"694",1188650
"695",3173254
"696",4371524
"697",4424645
"698",2437136
"699",2227756
"700",4490913
"701",2554082
"702",2497266
"703",1530823
"704",2411944
"705",7999925
"706",10086184
"707",1040990
"708",5874770
"709",6097431
"710",6097420
"711",1039498
"712",1041063
"713",6097469
"714",9351338
"715",6097441
"716",6097466
"717",6097459
"718",6097429
"719",7402894
"720",4428495
"721",5122232
"722",2437470
"723",5749227
"724",5749134
"725",5749182
"726",5716420
"727",6943324
"728",5749277
"729",6943243
"730",5749265
"731",6943225
"732",6943215
"733",5749280
"734",6943368
"735",5749203
"736",5749196
"737",4413919
"738",4427480
"739",1095954
"740",1095951
"741",1095950
"742",6965560
"743",4427472
"744",1095953
"745",4427437
"746",4427418
"747",4427466
"748",4427468
"749",1095958
"750",4427449
"751",6454754
"752",1300033
"753",9139578
"754",2087689
"755",5188832
"756",2076745
"757",2620333
"758",4456939
"759",1025098
"760",1420769
"761",2612993
"762",2115769
"763",4417554
"764",4417555
"765",1792418
"766",2705297
"767",2705286
"768",1374530
"769",5170476
"770",4449412
"771",2440934
"772",2705932
"773",2498263
"774",2498264
"775",2650107
"776",8518785
"777",1415862
"778",3171169
"779",3171174
"780",3192919
"781",7798618
"782",7587619
"783",4400961
"784",2142995
"785",4435710
"786",8172198
"787",1420323
"788",1244539
"789",2094580
"790",2115724
"791",2864546
"792",5228232
"793",5228229
"794",4538999
"795",8310958
"796",4435554
"797",7661971
"798",9452186
"799",5189518
"800",5374672
"801",5708780
"802",5204862
"803",2366101
"804",2307447
"805",5739539
"806",5739556
"807",5739559
"808",5206714
"809",5207310
"810",5188774
"811",4554041
"812",2161364
"813",1198608
"814",1232524
"815",1232526
"816",1386308
"817",4329456
"818",3203882
"819",2166782
"820",2134068
"821",2627503
"822",4558769
"823",7579960
"824",5290059
"825",1031543
"826",9738098
"827",2007665
"828",4454848
"829",4484239
"830",2012126
"831",4314645
"832",2209893
"833",2378864
"834",3033896
"835",4458779
"836",5233152
"837",5392083
"838",5392174
"839",5391845
"840",5391810
"841",2291021
"842",4453317
"843",4437343
"844",4437293
"845",4437317
"846",4437326
"847",2441176
"848",7577557
"849",2299854
"850",5150245
"851",5150248
"852",2268682
"853",1014383
"854",4454570
"855",4454606
"856",4454595
"857",4454582
"858",4454603
"859",1995681
"860",4492147
"861",1852831
"862",1852787
"863",1852871
"864",1852751
"865",4529658
"866",2013328
"867",5151589
"868",1997215
"869",4557709
"870",1464288
"871",2359471
"872",5799849
"873",2578272
"874",2581196
"875",2865980
"876",2464899
"877",2320813
"878",2320810
"879",2321001
