cells,avg_pi,median_pi,sd_pi,var_pi,richness,hill_1,hill_2,hill_3,hill_4,hill_5,hill_1_c,hill_2_c,hill_3_c,hill_4_c,hill_5_c,hill_1_r,hill_2_r,hill_3_r,hill_4_r,hill_5_r
100,0.00215760841625753,0.000993139167726932,0.00289361159393056,8.37298805652938e-06,81,40.1173193778178,29.1744954535672,24.3760519024041,40.1173193778178,40.1173193778178,0.495275547874293,0.36017895621688,0.300938912375359,0.267379926050339,0.2451152917713,5.52881247659955,4.29985185321097,3.90279270655244,3.48265369324207,3.51911755924144
105,0.00180698513486337,0.000698449669722962,0.00360364595546903,1.29862641723683e-05,27,9.1955435886162,5.59020619697628,4.34240880363127,9.1955435886162,9.1955435886162,0.340575688467267,0.207044673962084,0.160829955690047,0.140840564721631,0.130403573756304,4.38969103576723,3.60001029908365,3.05423406053712,2.97906264138377,2.83579023923583
186,0.00115915266833965,0.00101317122593718,0.00115768724030904,1.34023974637436e-06,41,25.911908795077,20.7790150259045,17.2836875117648,25.911908795077,25.911908795077,0.631997775489683,0.506805244534255,0.421553353945484,0.365825304173053,0.329276185286301,6.64251321904606,5.6575908178636,5.16536071580194,5.18674200848452,4.83513095569536
534,0.00173197967057974,0.00156041024329668,0.00133596230702107,1.78479528578105e-06,16,11.4656494466759,10.2709321419367,9.58172596418476,11.4656494466759,11.4656494466759,0.716603090417246,0.641933258871043,0.598857872761547,0.571640355003676,0.553235482731503,7.29237236567902,6.70940978006154,6.03432449526877,5.74908072443387,5.59827012512656
536,0.00123014833445087,0.000596607227764149,0.00175583241628748,3.08294747408595e-06,38,18.0900916809443,12.7359956177943,10.4575878537905,18.0900916809443,18.0900916809443,0.476055044235377,0.33515777941564,0.275199680362907,0.245076835945677,0.227581465154838,5.44522724713538,4.52161025354647,3.91389490510064,3.44091951480168,3.26685935413944
753,0.00229787574838998,0.000922069686380438,0.00324403839601471,1.05237851148177e-05,53,25.0211188533697,17.9329809436401,14.7670831622882,25.0211188533697,25.0211188533697,0.472096582139051,0.338358131012077,0.278624210609211,0.247150943619113,0.228435299309432,5.386307411697,4.12861693052505,3.91361362658061,3.56468868270326,3.38644311333732
791,0.00140508854109611,0.000434216239687364,0.00278894398641257,7.77820855934684e-06,51,16.9757994845484,10.4883640496705,8.23850617997938,16.9757994845484,16.9757994845484,0.332858813422518,0.205654197052362,0.161539336862341,0.141032452673509,0.129379657527498,4.58191311789181,3.51053498114711,2.90366682626318,2.78918960255573,2.66155390016167
792,0.0030590303533587,0.0013623241959927,0.00395517386923931,1.56434003359134e-05,29,15.1864588040473,11.0937917728713,9.19986487153417,15.1864588040473,15.1864588040473,0.52367099324301,0.382544543892115,0.317236719708075,0.281420582642744,0.259338812846502,5.68042620354444,4.67242471426657,4.09214809094015,3.97382780927805,3.51668084084872
848,0.00129470883453804,0.000741374179145168,0.00158594276711113,2.5152144605521e-06,231,125.952294603029,92.6227972552976,75.6039712707343,125.952294603029,125.952294603029,0.545248028584539,0.400964490282673,0.327289918920928,0.284702008707978,0.257081589619152,5.788717787814,4.84080802402762,4.33955376244066,4.09846761590724,3.92133934873648
887,0.00288201347570468,0.00186617200071518,0.00312927268772576,9.79234755414638e-06,12,8.1530223685163,5.76728231850982,4.56336746452421,8.1530223685163,8.1530223685163,0.679418530709692,0.480606859875818,0.380280622043684,0.331986169054887,0.306417974766478,7.48589545013911,6.40360646035264,5.7408294314109,5.38152350080598,4.99222681592495
